year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2019,Hawaii,15,"Honolulu County, HI",15003,White,Not Stated,55.0,Not Applicable,Not Applicable,Not Applicable
2019,Hawaii,15,"Honolulu County, HI",15003,More than one race,Hispanic or Latino,212.0,39470.0,537.1,12748.0
2019,Hawaii,15,"Honolulu County, HI",15003,More than one race,Not Hispanic or Latino,1217.0,182372.0,667.3,824.8
2019,Hawaii,15,"Kauai County, HI",15007,Asian,Not Hispanic or Latino,234.0,21355.0,1095.8,418.3
2019,Hawaii,15,"Kauai County, HI",15007,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,38.0,6075.0,625.5,550.0
2019,Hawaii,15,"Kauai County, HI",15007,White,Hispanic or Latino,18.0,2713.0,Unreliable,Unreliable
2019,Hawaii,15,"Kauai County, HI",15007,White,Not Hispanic or Latino,212.0,21171.0,1001.4,604.4
2019,Hawaii,15,"Kauai County, HI",15007,More than one race,Hispanic or Latino,20.0,3725.0,536.9,5488.1
2019,Hawaii,15,"Kauai County, HI",15007,More than one race,Not Hispanic or Latino,87.0,14848.0,585.9,800.4
2019,Hawaii,15,"Maui County, HI",15009,Asian,Not Hispanic or Latino,425.0,46689.0,910.3,462.8
2019,Hawaii,15,"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,95.0,16469.0,576.8,565.8
2019,Hawaii,15,"Maui County, HI",15009,White,Hispanic or Latino,42.0,8073.0,520.3,624.5
2019,Hawaii,15,"Maui County, HI",15009,White,Not Hispanic or Latino,441.0,50366.0,875.6,540.6
2019,Hawaii,15,"Maui County, HI",15009,More than one race,Hispanic or Latino,45.0,7556.0,595.6,2284.9
2019,Hawaii,15,"Maui County, HI",15009,More than one race,Not Hispanic or Latino,197.0,32900.0,598.8,795.3
2020,Hawaii,15,"Hawaii County, HI",15001,Asian,Not Hispanic or Latino,484.0,40086.0,1207.4,463.2
2020,Hawaii,15,"Hawaii County, HI",15001,Black or African American,Not Hispanic or Latino,11.0,1381.0,Unreliable,Unreliable
2020,Hawaii,15,"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,153.0,24195.0,632.4,595.0
2020,Hawaii,15,"Hawaii County, HI",15001,White,Hispanic or Latino,50.0,7964.0,627.8,625.6
2020,Hawaii,15,"Hawaii County, HI",15001,White,Not Hispanic or Latino,735.0,60606.0,1212.8,608.9
2020,Hawaii,15,"Hawaii County, HI",15001,More than one race,Hispanic or Latino,61.0,14183.0,430.1,7188.2
2020,Hawaii,15,"Hawaii County, HI",15001,More than one race,Not Hispanic or Latino,350.0,48965.0,714.8,828.5
