State,2021 natural cause deaths (CDC)**,2021 natural cause death rate (CDC)**,2020 natural cause deaths (CDC),2020 natural cause death rate (CDC),2019 natural cause deaths (CDC),2019 natural cause death rate (CDC),2018 natural cause deaths (CDC),2018 natural cause death rate (CDC),2021 external cause deaths (CDC)**,2021 external cause death rate (CDC)**,2020 external cause deaths (CDC),2020 external cause death rate (CDC),2019 external cause deaths (CDC),2019 external cause death rate (CDC),2018 external cause deaths (CDC),2018 external cause deaths rate (CDC),2021 flu and pneumonia deaths (CDC)**,2021 flu and pneumonia death rate (CDC)**,2020 flu and pneumonia deaths (CDC),2020 flu and pneumonia death rate (CDC),2019 flu and pneumonia deaths (CDC),2019 flu and pneumonia death rate (CDC),2018 flu and pneumonia deaths (CDC),2018 flu and pneumonia death rate (CDC),2021 alzheimer deaths (CDC)**,2021 alzheimer death rate (CDC)**,2020 alzheimer deaths (CDC),2020 alzheimer death rate (CDC),2019 alzheimer deaths (CDC),2019 alzheimer death rate (CDC),2018 alzheimer deaths (CDC),2018 alzheimer death rate (CDC),2021 diabetes deaths (CDC)**,2021 diabetes death rates (CDC)**,2020 diabetes deaths (CDC),2020 diabetes death rates (CDC),2019 diabetes deaths (CDC),2019 diabetes death rates (CDC),2018 diabetes deaths (CDC),2018 diabetes death rates (CDC),2021 stroke deaths (CDC)**,2021 stroke death rate (CDC)**,2020 stroke deaths (CDC),2020 stroke death rate (CDC),2019 stroke deaths (CDC),2019 stroke death rate (CDC),2018 stroke deaths (CDC),2018 stroke death rate (CDC),2021 respiratory deaths (CDC)**,2021 respiratory death rates (CDC)**,2020 respiratory deaths (CDC),2020 respiratory death rates (CDC),2019 respiratory deaths (CDC),2019 respiratory death rates (CDC),2018 respiratory deaths (CDC),2018 respiratory death rates (CDC),2021 heart disease deaths (CDC)**,2021 heart disease death rates (CDC)**,2020 heart diease deaths (CDC),2020 heart disease death rates (CDC),2019 heart disease deaths (CDC),2019 heart disease death rates (CDC),2018  heart disease deaths (CDC),2018  heart disease death rates (CDC),2021 drug overdose unintentional deaths (CDC),2021 drug overdose unintentional death rates (CDC)**,2020 drug overdose unintentional deaths (CDC),2020 drug overdose unintentional death rates (CDC),2019 drug overdose unintentional deaths (CDC),2019 drug overdose unintentional death rates (CDC),2018 drug overdose unintentional deaths (CDC),2018 drug overdose unintentional death rate (CDC),2021 transport accident deaths (CDC)**,2021 transport accident death rates (CDC)**,2020 transport accident deaths (CDC),2020 transport accident death rates (CDC),2019 transport accident deaths (CDC),2019 transport accident death rates (CDC),2018 transport accident deaths (CDC),2018 transport accident death rates (CDC),2021 deaths from ill-defined conditions (CDC)**,2021 ill-defined conditions death rate (CDC)**,2020 deaths from ill-defined conditions (CDC),2020 ill-defined conditions death rate (CDC),2019 deaths from ill-defined conditions (CDC),2019 ill-defined conditions death rate (CDC),2018 ill-defined conditions deaths (CDC),2018 ill-defined conditions death rate (CDC)
Oklahoma,"40,429","1,016","43,839","1,101","37,207",940,37117,941.3,"1,812",46,"3,970",100,"3,723",94,3816,96.8,461,11.6,657,16.5,640,16.2,809,20.5,"1,357",34.1,"1,817",45.6,"1,775",44.9,1739,44.1,"1,348",33.9,"1,552",39,"1,306",33,1340,34,"1,641",41.2,"1,955",49.1,"1,803",45.6,1861,47.2,"2,384",59.9,"2,936",73.8,"3,003",75.9,3013,76.4,"10,146",254.9,"11,758",295.4,"10,960",277,10481,265.8,332,6.9,685,17.2,554,14,615,15.6,334,8.4,764,19.2,723,18.3,733,18.6,"1,200.00",30.1,225,5.7,166,4.2,245,6.2
Oregon,"34,950",824,"36,594",863,"33,980",806,33003,787.5,"1,733",41,"3,626",86,"3,390",80,3184,76,180,4.2,391,9.2,487,11.5,530,12.6,"1,776",41.9,"2,008",47.3,"1,992",47.2,1868,44.6,"1,196",28.2,"1,363",32.1,"1,266",30,1224,29.2,"1,949",46,"2,234",52.7,"2,134",50.6,2024,48.3,"1,572",37.1,"1,970",46.4,"2,112",50.1,1919,45.8,"6,576",155,"7,371",173.8,"7,128",169,6568,156.7,414,7.6,700,16.5,496,11.8,434,10.4,235,5.5,590,13.9,583,13.8,525,12.5,985,23.2,583,13.7,456,10.8,442,10.5
Pennsylvania,"121,255",949,"142,842","1,117","122,318",956,122851,959.2,"5,684",45,"12,704",99,"11,665",91,11851,92.5,"1,546",12.1,"2,368",18.5,"2,483",19.4,2887,22.5,"3,539",27.7,"4,544",35.5,"4,150",32.4,4064,31.7,"3,565",27.9,"4,250",33.2,"3,654",28.5,3603,28.1,"5,819",45.5,"6,940",54.3,"6,658",52,6599,51.5,"4,765",37.3,"6,132",48,"6,341",49.5,6432,50.2,"27,623",216.1,"32,936",257.6,"32,299",252.3,31931,249.3,"2,203",13.7,"4,850",37.9,"4,058",31.7,4047,31.6,553,4.3,"1,318",10.3,"1,208",9.4,1343,10.5,"3,252.00",25.4,"2,523.00",19.7,"2,534.00",19.8,2518,19.7
Rhode Island,"8,592",813,"10,873","1,029","9,411",888,9212,871.3,432,41,946,90,845,80,871,82.4,87,8.2,142,13.4,178,16.8,192,18.2,369,34.9,501,47.4,456,43,470,44.5,238,22.5,331,31.3,265,25,249,23.6,366,34.6,406,38.4,407,38.4,424,40.1,324,30.6,446,42.2,499,47.1,466,44.1,"1,967",186.1,"2,319",219.4,"2,404",226.9,2361,223.3,172,13.2,377,35.7,280,26.4,297,28.1,34,3.2,83,7.9,82,7.7,71,6.7,204,19.3,53,5,89,8.4,57,5.4
South Carolina,"49,598",951,"55,392","1,062","46,112",896,45856,901.9,"2,570",49,"5,831",112,"4,850",94,4784,94.1,528,10.1,754,14.4,686,13.3,882,17.3,"1,991",38.2,"2,575",49.3,"2,323",45.1,2616,51.5,"1,368",26.2,"1,943",37.2,"1,610",31.3,1580,31.1,"2,560",49.1,"2,877",55.1,"2,703",52.5,2819,55.4,"2,384",45.7,"3,030",58.1,"2,899",56.3,2990,58.8,"9,858",188.9,"11,386",218.2,"10,579",205.5,10083,198.3,826,12.9,"1,663",31.9,"1,050",20.4,1049,20.6,500,9.6,"1,180",22.6,"1,064",20.7,1079,21.2,"1,139.00",21.8,473,9.1,570,11.1,579,11.4
South Dakota,"7,035",788,"9,039","1,013","7,523",850,7307,828.2,362,41,822,92,747,84,664,75.3,99,11.1,143,16,187,21.1,245,27.8,348,39,488,54.7,495,56,437,49.5,255,28.6,329,36.9,287,32.4,252,28.6,341,38.2,427,47.8,372,42.1,389,44.1,403,45.1,432,48.4,521,58.9,498,56.4,"1,459",163.4,"1,820",203.9,"1,840",208,1742,197.5,36,3.5,69,7.7,71,8,43,4.9,71,8,158,17.7,145,16.4,163,18.5,34,3.8,37,4.1,41,4.6,43,4.9
Tennessee,"71,924","1,044","75,838","1,101","64,983",952,64579,953.9,"3,971",58,"8,367",122,"6,952",102,6499,96,"1,005",14.6,"1,549",22.5,"1,332",19.5,1646,24.3,"2,504",36.4,"3,607",52.4,"3,252",47.6,3488,51.5,"2,314",33.6,"2,591",37.6,"2,161",31.6,2023,29.9,"3,230",46.9,"3,672",53.3,"3,435",50.3,3499,51.7,"3,828",55.6,"4,509",65.5,"4,556",66.7,4662,68.9,"15,620",226.8,"17,944",260.6,"16,814",246.2,16021,236.6,"1,576",18.9,"2,888",41.9,"1,953",28.6,1679,24.8,624,9.1,"1,331",19.3,"1,234",18.1,1152,17,"2,113.00",30.7,815,11.8,751,11,963,14.2
Texas,"216,222",736,"230,457",785,"185,611",640,185446,646.1,"9,166",31,"19,882",68,"17,751",61,16765,58.4,"2,430",8.3,"3,542",12.1,"3,158",10.9,3516,12.3,"9,152",31.2,"11,918",40.6,"10,101",34.8,9763,34,"6,925",23.6,"7,990",27.2,"6,889",23.8,5991,20.9,"10,375",35.3,"11,667",39.7,"10,807",37.3,10810,37.7,"8,648",29.5,"10,401",35.4,"10,797",37.2,10766,37.5,"42,982",146.4,"50,286",171.3,"46,139",159.1,45125,157.2,"1,996",5.5,"3,778",12.9,"2,767",9.5,2630,9.2,"1,906",6.5,"4,305",14.7,"4,104",14.2,3936,13.7,"4,634.00",15.8,"1,808.00",6.2,"1,685.00",5.8,2405,8.4
Utah,"17,523",539,"19,176",590,"16,596",518,16222,513.2,"1,056",33,"2,321",71,"2,140",67,2132,67.4,169,5.2,280,8.6,300,9.4,353,11.2,857,26.4,"1,116",34.3,980,30.6,1024,32.4,716,22,778,23.9,692,21.6,629,19.9,750,23.1,917,28.2,912,28.4,919,29.1,730,22.5,929,28.6,843,26.3,880,27.8,"3,689",113.5,"4,251",130.8,"3,882",121.1,3557,112.5,235,5.9,502,15.4,462,14.4,504,15.9,149,4.6,362,11.1,281,8.8,278,8.8,451,13.9,278,8.6,319,10,309,9.8
Vermont,"5,412",868,"5,817",933,"5,399",865,5406,863.2,280,45,642,103,557,89,621,99.2,29,4.7,56,9,52,8.3,87,13.9,290,46.5,280,44.9,315,50.5,333,53.2,137,22,153,24.5,136,21.8,156,24.9,241,38.7,263,42.2,269,43.1,263,42,264,42.4,345,55.3,342,54.8,353,56.4,"1,386",222.3,"1,522",244.2,"1,368",219.2,1310,209.2,83,10.9,171,27.4,114,18.3,135,21.6,29,4.7,74,11.9,65,10.4,79,12.6,100,16,28,4.5,34,5.4,43,6.9
Virginia,"70,094",816,"73,918",861,"64,593",757,63572,746.4,"2,384",28,"6,678",78,"5,732",67,5787,67.9,830,9.7,"1,178",13.7,"1,100",12.9,1283,15.1,"2,267",26.4,"2,861",33.3,"2,631",30.8,2592,30.4,"2,246",26.1,"2,586",30.1,"2,350",27.5,2286,26.8,"3,572",41.6,"4,091",47.6,"3,828",44.8,3778,44.4,"2,761",32.1,"3,447",40.1,"3,665",42.9,3465,40.7,"14,003",163,"15,681",182.5,"15,062",176.5,14054,165,485,5.4,"2,098",24.4,"1,411",16.5,1283,15.1,404,4.7,986,11.5,939,11,958,11.2,"3,219.00",37.5,736,8.6,730,8.6,677,7.9
Washington,"54,022",702,"57,136",743,"52,926",695,51697,686,"2,719",35,"6,010",78,"5,337",70,5180,68.7,435,5.7,778,10.1,877,11.5,930,12.3,"3,095",40.2,"3,704",48.1,"3,585",47.1,3752,49.8,"1,921",25,"2,072",26.9,"1,842",24.2,1779,23.6,"2,763",35.9,"3,087",40.1,"3,032",39.8,2891,38.4,"2,277",29.6,"2,723",35.4,"3,045",40,2998,39.8,"11,018",143.2,"12,084",157.1,"11,862",155.8,11289,149.8,859,9.3,"1,569",20.4,"1,085",14.2,996,13.2,299,3.9,773,10,730,9.6,722,9.6,"1,268.00",16.5,546,7.1,533,7,504,6.7
West Virginia,"19,539","1,095","23,287","1,305","21,022","1,173",21191,1173.5,"1,234",69,"2,819",158,"2,382",133,2287,126.6,299,16.8,447,25,402,22.4,539,29.8,629,35.2,932,52.2,832,46.4,791,43.8,821,46,"1,075",60.2,952,53.1,927,51.3,758,42.5,952,53.3,"1,035",57.8,990,54.8,"1,103",61.8,"1,609",90.2,"1,673",93.4,1723,95.4,"3,885",217.7,"5,130",287.4,"5,087",283.8,4900,271.3,588,27.9,"1,287",72.1,826,46.1,806,44.6,116,6.5,333,18.7,357,19.9,344,19,598,33.5,393,22,432,24.1,500,27.7
Wisconsin,"47,052",807,"56,677",972,"48,870",839,48653,836.9,"2,409",41,"6,029",103,"5,319",91,5031,86.5,453,7.8,734,12.6,758,13,1075,18.5,"2,009",34.4,"2,595",44.5,"2,390",41,2453,42.2,"1,441",24.7,"1,684",28.9,"1,548",26.6,1508,25.9,"2,309",39.6,"2,828",48.5,"2,488",42.7,2549,43.8,"2,090",35.8,"2,798",48,"2,846",48.9,2866,49.3,"10,939",187.5,"12,641",216.7,"12,241",210.2,11616,199.8,682,9.2,"1,414",24.2,"1,086",18.7,939,16.2,244,4.2,759,13,666,11.4,679,11.7,"1,020.00",17.5,266,4.6,294,5,268,4.6
Wyoming,"5,185",890,"5,371",922,"4,522",781,4526,783.4,230,40,612,105,599,104,544,94.2,72,12.4,81,13.9,99,17.1,128,22.2,180,30.9,227,39,238,41.1,277,47.9,142,24.4,148,25.4,132,22.8,145,25.1,181,31.1,221,38,221,38.2,220,38.1,313,53.7,401,68.9,381,65.8,411,71.1,958,164.5,"1,174",201.6,"1,067",184.4,1009,174.6,39,5,84,14.4,68,11.7,55,9.5,33,5.7,122,21,119,20.6,102,17.7,78,13.4,57,9.8,41,7.1,40,6.9
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
