year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2019,Connecticut,09,"Middlesex County, CT",09007,White,Hispanic or Latino,23.0,8700.0,264.4,415.6
2019,Connecticut,09,"Middlesex County, CT",09007,White,Not Hispanic or Latino,1518.0,135377.0,1121.3,635.6
2019,Connecticut,09,"New Haven County, CT",09009,Asian,Not Hispanic or Latino,70.0,36094.0,193.9,273.8
2019,Connecticut,09,"New Haven County, CT",09009,Black or African American,Hispanic or Latino,19.0,18891.0,Unreliable,Unreliable
2019,Connecticut,09,"New Haven County, CT",09009,Black or African American,Not Hispanic or Latino,873.0,110916.0,787.1,847.2
2019,Connecticut,09,"New Haven County, CT",09009,White,Hispanic or Latino,556.0,133922.0,415.2,659.7
2019,Connecticut,09,"New Haven County, CT",09009,White,Not Hispanic or Latino,6569.0,526773.0,1247.0,687.7
2019,Connecticut,09,"New Haven County, CT",09009,More than one race,Not Hispanic or Latino,11.0,15487.0,Unreliable,Unreliable
2019,Connecticut,09,"New London County, CT",09011,American Indian or Alaska Native,Not Hispanic or Latino,11.0,2105.0,Unreliable,Unreliable
2019,Connecticut,09,"New London County, CT",09011,Asian,Not Hispanic or Latino,31.0,11115.0,278.9,290.8
2019,Connecticut,09,"New London County, CT",09011,Black or African American,Not Hispanic or Latino,101.0,15170.0,665.8,828.0
2019,Connecticut,09,"New London County, CT",09011,White,Hispanic or Latino,80.0,22367.0,357.7,634.4
2019,Connecticut,09,"New London County, CT",09011,White,Not Hispanic or Latino,2398.0,199236.0,1203.6,749.3
2019,Connecticut,09,"Tolland County, CT",09013,Asian,Not Hispanic or Latino,11.0,7490.0,Unreliable,Unreliable
2019,Connecticut,09,"Tolland County, CT",09013,Black or African American,Not Hispanic or Latino,23.0,5205.0,441.9,712.5
2019,Connecticut,09,"Tolland County, CT",09013,White,Hispanic or Latino,13.0,7260.0,Unreliable,Unreliable
2019,Connecticut,09,"Tolland County, CT",09013,White,Not Hispanic or Latino,1096.0,126298.0,867.8,631.8
2019,Connecticut,09,"Windham County, CT",09015,Black or African American,Not Hispanic or Latino,16.0,2229.0,Unreliable,Unreliable
2019,Connecticut,09,"Windham County, CT",09015,White,Hispanic or Latino,51.0,11649.0,437.8,777.6
2019,Connecticut,09,"Windham County, CT",09015,White,Not Hispanic or Latino,1076.0,95740.0,1123.9,786.7
2020,Connecticut,09,"Fairfield County, CT",09001,Asian,Not Hispanic or Latino,174.0,54537.0,319.0,378.4
2020,Connecticut,09,"Fairfield County, CT",09001,Black or African American,Hispanic or Latino,21.0,18129.0,115.8,205.7
2020,Connecticut,09,"Fairfield County, CT",09001,Black or African American,Not Hispanic or Latino,1012.0,106380.0,951.3,956.2
2020,Connecticut,09,"Fairfield County, CT",09001,Black or African American,Not Stated,12.0,Not Applicable,Not Applicable,Not Applicable
2020,Connecticut,09,"Fairfield County, CT",09001,White,Hispanic or Latino,818.0,165649.0,493.8,687.5
2020,Connecticut,09,"Fairfield County, CT",09001,White,Not Hispanic or Latino,6708.0,568368.0,1180.2,673.4
2020,Connecticut,09,"Fairfield County, CT",09001,White,Not Stated,19.0,Not Applicable,Not Applicable,Not Applicable
2020,Connecticut,09,"Fairfield County, CT",09001,More than one race,Not Hispanic or Latino,10.0,14299.0,Unreliable,Unreliable
2020,Connecticut,09,"Hartford County, CT",09003,Asian,Not Hispanic or Latino,134.0,53950.0,248.4,384.5
2020,Connecticut,09,"Hartford County, CT",09003,Black or African American,Hispanic or Latino,31.0,23408.0,132.4,215.1
2020,Connecticut,09,"Hartford County, CT",09003,Black or African American,Not Hispanic or Latino,1185.0,120525.0,983.2,1007.8
2020,Connecticut,09,"Hartford County, CT",09003,White,Hispanic or Latino,863.0,132175.0,652.9,923.8
2020,Connecticut,09,"Hartford County, CT",09003,White,Not Hispanic or Latino,7785.0,526870.0,1477.6,800.2
2020,Connecticut,09,"Hartford County, CT",09003,White,Not Stated,18.0,Not Applicable,Not Applicable,Not Applicable
2020,Connecticut,09,"Hartford County, CT",09003,More than one race,Not Hispanic or Latino,12.0,16503.0,Unreliable,Unreliable
2020,Connecticut,09,"Litchfield County, CT",09005,Asian,Not Hispanic or Latino,11.0,3800.0,Unreliable,Unreliable
2020,Connecticut,09,"Litchfield County, CT",09005,Black or African American,Not Hispanic or Latino,21.0,3323.0,632.0,654.2
2020,Connecticut,09,"Litchfield County, CT",09005,White,Hispanic or Latino,38.0,10862.0,349.8,621.8
